market value ($),cusip,fund,weight (%),ticker,date,company,shares
"$888,172,620.72",19260Q107,ARKK,11.27%,COIN,03/08/2024,COINBASE GLOBAL INC -CLASS A,"3,660,756"
"$613,604,510.10",88160R101,ARKK,7.78%,TSLA,03/08/2024,TESLA INC,"3,434,674"
"$547,426,597.69",77543R102,ARKK,6.94%,ROKU,03/08/2024,ROKU INC,"8,679,667"
"$536,028,112.62",852234103,ARKK,6.80%,SQ,03/08/2024,BLOCK INC,"6,941,571"
"$469,618,479.62",H17182108,ARKK,5.96%,CRSP,03/08/2024,CRISPR THERAPEUTICS AG,"5,916,826"
"$467,972,400.40",90364P105,ARKK,5.94%,PATH,03/08/2024,UIPATH INC - CLASS A,"19,829,339"
"$366,740,032.46",98980L101,ARKK,4.65%,ZM,03/08/2024,ZOOM VIDEO COMMUNICATIONS-A,"5,471,282"
"$321,841,134.76",770700102,ARKK,4.08%,HOOD,03/08/2024,ROBINHOOD MARKETS INC - A,"19,672,441"
"$311,533,886.24",771049103,ARKK,3.95%,RBLX,03/08/2024,ROBLOX CORP -CLASS A,"7,765,052"
"$250,695,032.22",91332U101,ARKK,3.18%,U,03/08/2024,UNITY SOFTWARE INC,"9,169,533"
"$243,831,942.94",26142V105,ARKK,3.09%,DKNG UW,03/08/2024,DRAFTKINGS INC-CL A,"5,726,443"
"$243,836,044.20",69608A108,ARKK,3.09%,PLTR,03/08/2024,PALANTIR TECHNOLOGIES INC-A,"9,215,270"
"$227,216,877.00",45826J105,ARKK,2.88%,NTLA,03/08/2024,INTELLIA THERAPEUTICS INC,"7,568,850"
"$216,730,888.38",82509L107,ARKK,2.75%,SHOP,03/08/2024,SHOPIFY INC - CLASS A,"2,877,086"
"$212,109,485.28",07373V105,ARKK,2.69%,BEAM,03/08/2024,BEAM THERAPEUTICS INC,"5,738,893"
"$174,496,259.10",69553P100,ARKK,2.21%,PD,03/08/2024,PAGERDUTY INC,"7,169,115"
"$159,798,404.72",88025U109,ARKK,2.03%,TXG,03/08/2024,10X GENOMICS INC-CLASS A,"3,900,376"
"$152,805,688.80",87918A105,ARKK,1.94%,TDOC,03/08/2024,TELADOC HEALTH INC,"9,954,768"
"$150,978,116.40",37611X100,ARKK,1.92%,DNA,03/08/2024,GINKGO BIOWORKS HOLDINGS INC,"125,815,097"
"$147,029,809.50",75629V104,ARKK,1.87%,RXRX,03/08/2024,RECURSION PHARMACEUTICALS-A,"13,186,530"
"$130,368,307.52",90184D100,ARKK,1.65%,TWST,03/08/2024,TWIST BIOSCIENCE CORP,"3,431,648"
"$118,919,120.18",88339J105,ARKK,1.51%,TTD,03/08/2024,TRADE DESK INC/THE -CLASS A,"1,453,246"
"$114,888,407.20",30063P105,ARKK,1.46%,EXAS,03/08/2024,EXACT SCIENCES CORP,"1,869,320"
"$98,990,439.36",72352L106,ARKK,1.26%,PINS,03/08/2024,PINTEREST INC- CLASS A,"2,786,893"
"$97,537,366.08",30303M102,ARKK,1.24%,META,03/08/2024,META PLATFORMS INC-CLASS A,"190,432"
"$96,003,020.75",92337F107,ARKK,1.22%,VCYT,03/08/2024,VERACYTE INC,"4,219,913"
"$92,465,051.80",90138F102,ARKK,1.17%,TWLO,03/08/2024,TWILIO INC - A,"1,511,855"
"$88,739,934.21",69404D108,ARKK,1.13%,PACB,03/08/2024,PACIFIC BIOSCIENCES OF CALIF,"19,333,319"
"$84,891,601.88",880770102,ARKK,1.08%,TER,03/08/2024,TERADYNE INC,"771,812"
"$75,817,290.12",03945R102,ARKK,0.96%,ACHR,03/08/2024,ARCHER AVIATION INC-A,"17,673,028"
"$56,863,754.01",83406F102,ARKK,0.72%,SOFI,03/08/2024,SOFI TECHNOLOGIES INC,"7,612,283"
"$44,490,931.56",92539P101,ARKK,0.56%,VERV,03/08/2024,VERVE THERAPEUTICS INC,"2,977,974"
"$29,026,682.30",157085101,ARKK,0.37%,CERS,03/08/2024,CERUS CORP,"12,196,085"
"$21,721,183.00",74168J101,ARKK,0.28%,PRME,03/08/2024,PRIME MEDICINE INC,"2,668,450"
"$17,661,690.42",632307104,ARKK,0.22%,NTRA,03/08/2024,NATERA INC,"192,687"
"$9,068,474.03",X9USDGSFT,ARKK,0.12%,,03/08/2024,GOLDMAN FS TRSY OBLIG INST 468,"9,068,474"
"$2,496,995.00",90214J101,ARKK,0.03%,TWOU,03/08/2024,2U INC,"5,943,811"
,,,,,"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETF's prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs' portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses, Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF's net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose Value. All statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice. Foreside Fund Services, LLC, distributor. © 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission.",,
